CustomerID,NumInvoices,TotalSpending,Cluster
12346.0,2,0.0,0
12347.0,7,4310.0,0
12348.0,4,1797.24,0
12349.0,1,1757.55,0
12350.0,1,334.4,0
12352.0,11,1545.41,0
12353.0,1,89.0,0
12354.0,1,1079.4,0
12355.0,1,459.4,0
12356.0,3,2811.43,0
12357.0,1,6207.67,0
12358.0,2,1168.06,0
12359.0,6,6245.53,0
12360.0,3,2662.06,0
12361.0,1,189.9,0
12362.0,13,5154.58,0
12363.0,2,552.0,0
12364.0,4,1313.1,0
12365.0,3,320.69,0
12367.0,1,168.9,0
12370.0,4,3545.69,0
12371.0,2,1887.96,0
12372.0,3,1298.04,0
12373.0,1,364.6,0
12374.0,1,742.9300000000001,0
12375.0,3,455.42,0
12377.0,2,1628.12,0
12378.0,1,4008.62,0
12379.0,3,850.29,0
12380.0,5,2720.56,0
12381.0,6,1803.96,0
12383.0,6,1839.31,0
12384.0,3,566.16,0
12386.0,2,401.9,0
12388.0,6,2780.66,0
12390.0,1,549.84,0
12391.0,1,460.89,0
12393.0,4,1582.6000000000001,0
12394.0,2,1272.48,0
12395.0,15,2998.28,0
12397.0,2,2409.9,0
12398.0,1,1635.6599999999999,0
12399.0,4,1108.65,0
12401.0,1,84.3,0
12402.0,1,225.6,0
12403.0,2,409.7,0
12405.0,1,1710.39,0
12406.0,3,3280.75,0
12407.0,5,1708.1200000000001,0
12408.0,9,2842.57,0
12409.0,7,11056.93,0
12410.0,3,681.0799999999999,0
12412.0,3,1226.88,0
12413.0,5,694.15,0
12414.0,3,562.41,0
12415.0,26,123725.45,1
12417.0,12,3578.8,0
12418.0,1,668.58,0
12420.0,1,600.39,0
12421.0,5,806.27,0
12422.0,3,803.5600000000001,0
12423.0,9,1849.11,0
12424.0,2,1760.96,0
12425.0,1,777.2,0
12426.0,1,582.73,0
12427.0,5,708.37,0
12428.0,12,7877.2,0
12429.0,4,3750.4,0
12430.0,1,256.4,0
12431.0,18,6416.39,2
12432.0,5,5059.32,0
12433.0,7,13375.87,0
12434.0,4,765.19,0
12435.0,2,7829.89,0
12436.0,1,509.01,0
12437.0,19,4896.66,2
12438.0,2,2906.85,0
12441.0,1,173.55,0
12442.0,1,172.06,0
12444.0,5,5005.46,0
12445.0,1,133.4,0
12446.0,1,1002.3100000000001,0
12447.0,1,476.49,0
12448.0,1,449.45,0
12449.0,4,4067.29,0
12450.0,2,197.88,0
12451.0,6,8933.52,0
12452.0,3,428.57,0
12453.0,1,707.09,0
12454.0,2,5.684341886080802e-14,0
12455.0,6,2466.86,0
12456.0,4,3153.89,0
12457.0,12,1917.78,0
12458.0,2,947.4,0
12461.0,2,826.88,0
12462.0,4,1124.01,0
12463.0,7,1303.63,0
12464.0,8,1212.05,0
12465.0,3,733.89,0
12468.0,3,724.0400000000001,0
12471.0,49,18740.92,2
12472.0,13,6229.48,0
12473.0,9,2848.23,0
12474.0,30,7116.47,2
12475.0,1,723.38,0
12476.0,20,6546.58,2
12477.0,9,13117.01,0
12478.0,1,680.99,0
12479.0,3,477.3,0
12480.0,4,3281.63,0
12481.0,11,5590.86,0
12483.0,13,2327.13,0
12484.0,8,4495.27,0
12488.0,3,1298.66,0
12489.0,1,334.93,0
12490.0,10,5417.93,0
12491.0,1,460.40000000000003,0
12492.0,2,263.21000000000004,0
12493.0,3,416.79,0
12494.0,13,1139.3500000000001,0
12497.0,1,1043.1,0
12498.0,3,403.70000000000005,0
12500.0,13,4206.27,0
12501.0,2,2089.68,0
12502.0,5,3723.87,0
12503.0,1,-1126.0,0
12504.0,4,114.0,0
12505.0,1,-4.5,0
12506.0,1,73.5,0
12507.0,4,1258.06,0
12508.0,2,398.27,0
12509.0,1,176.5,0
12510.0,2,982.5699999999999,0
12512.0,2,138.03,0
12513.0,2,586.79,0
12514.0,1,1017.68,0
12515.0,1,383.7,0
12516.0,2,1312.06,0
12517.0,6,2464.89,0
12518.0,5,2056.89,0
12519.0,1,340.84,0
12520.0,6,2582.51,0
12521.0,1,599.68,0
12522.0,2,192.72,0
12523.0,13,1745.57,0
12524.0,8,4485.72,0
12526.0,3,1316.66,0
12527.0,3,348.71000000000004,0
12528.0,8,1922.28,0
12530.0,5,1623.63,0
12531.0,1,125.22,0
12532.0,1,349.83000000000004,0
12534.0,1,1089.18,0
12535.0,2,716.35,0
12536.0,5,4106.82,0
12538.0,1,363.95,0
12539.0,5,3852.5,0
12540.0,19,13309.039999999999,2
12541.0,3,981.18,0
12544.0,2,355.7,0
12545.0,2,1000.39,0
12546.0,3,1141.5,0
12547.0,2,207.79999999999998,0
12548.0,1,95.19999999999999,0
